example01   : INFO     This is info message
example01   : WARNING  This is warning message
2016-06-01 16:18:56 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:18:56 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:18:56 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:18:57 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:18:57 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:18:57 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:18:58 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:18:58 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:18:58 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:18:59 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:18:59 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:18:59 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:00 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:00 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:00 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:01 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:01 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:01 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:02 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:02 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:02 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:03 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:03 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:03 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:04 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:04 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:04 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:05 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:05 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:05 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:24 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:24 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:24 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:25 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:25 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:25 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:26 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:26 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:26 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:27 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:27 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:27 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:28 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:28 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:28 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:29 logger.py[line:<module>:8] DEBUG This is debug message
2016-06-01 16:19:29 logger.py[line:<module>:9] INFO This is info message
2016-06-01 16:19:29 logger.py[line:<module>:10] WARNING This is warning message
2016-06-01 16:19:30 logger.py[line:<module>:8] DEBUG This is debug message
